id,dengue
4_2022_01,1.4861297772010758
5_2022_01,1.4178718563715693
3_2022_01,1.4898880958211311
8_2022_01,1.4244348433628158
9_2022_01,1.4087969533647617
2_2022_01,1.4358301343017308
6_2022_01,1.3993312238630993
1_2022_01,1.541424270908389
7_2022_01,1.5174626796080388
0_2022_01,1.4968895813192327
4_2022_02,1.4861297772010758
5_2022_02,1.4178718563715693
3_2022_02,1.4898880958211311
8_2022_02,1.4244348433628158
9_2022_02,1.4087969533647617
2_2022_02,1.4358301343017308
6_2022_02,1.3993312238630993
1_2022_02,1.541424270908389
7_2022_02,1.5174626796080388
0_2022_02,1.4968895813192327
4_2022_03,1.4861297772010758
5_2022_03,1.4178718563715693
3_2022_03,1.4898880958211311
8_2022_03,1.4244348433628158
9_2022_03,1.4087969533647617
2_2022_03,1.4358301343017308
6_2022_03,1.3993312238630993
1_2022_03,1.541424270908389
7_2022_03,1.5174626796080388
0_2022_03,1.4968895813192327
4_2022_04,1.4861297772010758
5_2022_04,1.4178718563715693
3_2022_04,1.4898880958211311
8_2022_04,1.4244348433628158
9_2022_04,1.4087969533647617
2_2022_04,1.4358301343017308
6_2022_04,1.3993312238630993
1_2022_04,1.541424270908389
7_2022_04,1.5174626796080388
0_2022_04,1.4968895813192327
4_2022_05,1.4861297772010758
5_2022_05,1.4178718563715693
3_2022_05,1.4898880958211311
8_2022_05,1.4244348433628158
9_2022_05,1.4087969533647617
2_2022_05,1.4358301343017308
6_2022_05,1.3993312238630993
1_2022_05,1.541424270908389
7_2022_05,1.5174626796080388
0_2022_05,1.4968895813192327
4_2022_06,1.4861297772010758
5_2022_06,1.4178718563715693
3_2022_06,1.4898880958211311
8_2022_06,1.4244348433628158
9_2022_06,1.4087969533647617
2_2022_06,1.4358301343017308
6_2022_06,1.3993312238630993
1_2022_06,1.541424270908389
7_2022_06,1.5174626796080388
0_2022_06,1.4968895813192327
4_2022_07,1.4861297772010758
5_2022_07,1.4178718563715693
3_2022_07,1.4898880958211311
8_2022_07,1.4244348433628158
9_2022_07,1.4087969533647617
2_2022_07,1.4358301343017308
6_2022_07,1.3993312238630993
1_2022_07,1.541424270908389
7_2022_07,1.5174626796080388
0_2022_07,1.4968895813192327
4_2022_08,1.4861297772010758
5_2022_08,1.4178718563715693
3_2022_08,1.4898880958211311
8_2022_08,1.4244348433628158
9_2022_08,1.4087969533647617
2_2022_08,1.4358301343017308
6_2022_08,1.3993312238630993
1_2022_08,1.541424270908389
7_2022_08,1.5174626796080388
0_2022_08,1.4968895813192327
4_2022_09,1.4861297772010758
5_2022_09,1.4178718563715693
3_2022_09,1.4898880958211311
8_2022_09,1.4244348433628158
9_2022_09,1.4087969533647617
2_2022_09,1.4358301343017308
6_2022_09,1.3993312238630993
1_2022_09,1.541424270908389
7_2022_09,1.5174626796080388
0_2022_09,1.4968895813192327
4_2022_10,1.4861297772010758
5_2022_10,1.4178718563715693
3_2022_10,1.4898880958211311
8_2022_10,1.4244348433628158
9_2022_10,1.4087969533647617
2_2022_10,1.4358301343017308
6_2022_10,1.3993312238630993
1_2022_10,1.541424270908389
7_2022_10,1.5174626796080388
0_2022_10,1.4968895813192327
4_2022_11,1.4861297772010758
5_2022_11,1.4178718563715693
3_2022_11,1.4898880958211311
8_2022_11,1.4244348433628158
9_2022_11,1.4087969533647617
2_2022_11,1.4358301343017308
6_2022_11,1.3993312238630993
1_2022_11,1.541424270908389
7_2022_11,1.5174626796080388
0_2022_11,1.4968895813192327
4_2022_12,1.4861297772010758
5_2022_12,1.4178718563715693
3_2022_12,1.4898880958211311
8_2022_12,1.4244348433628158
9_2022_12,1.4087969533647617
2_2022_12,1.4358301343017308
6_2022_12,1.3993312238630993
1_2022_12,1.541424270908389
7_2022_12,1.5174626796080388
0_2022_12,1.4968895813192327
4_2022_13,1.4861297772010758
5_2022_13,1.4178718563715693
3_2022_13,1.4898880958211311
8_2022_13,1.4244348433628158
9_2022_13,1.4087969533647617
2_2022_13,1.4358301343017308
6_2022_13,1.3993312238630993
1_2022_13,1.541424270908389
7_2022_13,1.5174626796080388
0_2022_13,1.4968895813192327
4_2022_14,1.4861297772010758
5_2022_14,1.4178718563715693
3_2022_14,1.4898880958211311
8_2022_14,1.4244348433628158
9_2022_14,1.4087969533647617
2_2022_14,1.4358301343017308
6_2022_14,1.3993312238630993
1_2022_14,1.541424270908389
7_2022_14,1.5174626796080388
0_2022_14,1.4968895813192327
4_2022_15,1.4861297772010758
5_2022_15,1.4178718563715693
3_2022_15,1.4898880958211311
8_2022_15,1.4244348433628158
9_2022_15,1.4087969533647617
2_2022_15,1.4358301343017308
6_2022_15,1.3993312238630993
1_2022_15,1.541424270908389
7_2022_15,1.5174626796080388
0_2022_15,1.4968895813192327
4_2022_16,1.4861297772010758
5_2022_16,1.4178718563715693
3_2022_16,1.4898880958211311
8_2022_16,1.4244348433628158
9_2022_16,1.4087969533647617
2_2022_16,1.4358301343017308
6_2022_16,1.3993312238630993
1_2022_16,1.541424270908389
7_2022_16,1.5174626796080388
0_2022_16,1.4968895813192327
4_2022_17,1.4861297772010758
5_2022_17,1.4178718563715693
3_2022_17,1.4898880958211311
8_2022_17,1.4244348433628158
9_2022_17,1.4087969533647617
2_2022_17,1.4358301343017308
6_2022_17,1.3993312238630993
1_2022_17,1.541424270908389
7_2022_17,1.5174626796080388
0_2022_17,1.4968895813192327
4_2022_18,1.4861297772010758
5_2022_18,1.4178718563715693
3_2022_18,1.4898880958211311
8_2022_18,1.4244348433628158
9_2022_18,1.4087969533647617
2_2022_18,1.4358301343017308
6_2022_18,1.3993312238630993
1_2022_18,1.541424270908389
7_2022_18,1.5174626796080388
0_2022_18,1.4968895813192327
4_2022_19,1.4861297772010758
5_2022_19,1.4178718563715693
3_2022_19,1.4898880958211311
8_2022_19,1.4244348433628158
9_2022_19,1.4087969533647617
2_2022_19,1.4358301343017308
6_2022_19,1.3993312238630993
1_2022_19,1.541424270908389
7_2022_19,1.5174626796080388
0_2022_19,1.4968895813192327
4_2022_20,1.4861297772010758
5_2022_20,1.4178718563715693
3_2022_20,1.4898880958211311
8_2022_20,1.4244348433628158
9_2022_20,1.4087969533647617
2_2022_20,1.4358301343017308
6_2022_20,1.3993312238630993
1_2022_20,1.541424270908389
7_2022_20,1.5174626796080388
0_2022_20,1.4968895813192327
4_2022_21,1.4861297772010758
5_2022_21,1.4178718563715693
3_2022_21,1.4898880958211311
8_2022_21,1.4244348433628158
9_2022_21,1.4087969533647617
2_2022_21,1.4358301343017308
6_2022_21,1.3993312238630993
1_2022_21,1.541424270908389
7_2022_21,1.5174626796080388
0_2022_21,1.4968895813192327
4_2022_22,1.4861297772010758
5_2022_22,1.4178718563715693
3_2022_22,1.4898880958211311
8_2022_22,1.4244348433628158
9_2022_22,1.4087969533647617
2_2022_22,1.4358301343017308
6_2022_22,1.3993312238630993
1_2022_22,1.541424270908389
7_2022_22,1.5174626796080388
0_2022_22,1.4968895813192327
4_2022_23,1.4861297772010758
5_2022_23,1.4178718563715693
3_2022_23,1.4898880958211311
8_2022_23,1.4244348433628158
9_2022_23,1.4087969533647617
2_2022_23,1.4358301343017308
6_2022_23,1.3993312238630993
1_2022_23,1.541424270908389
7_2022_23,1.5174626796080388
0_2022_23,1.4968895813192327
4_2022_24,1.4861297772010758
5_2022_24,1.4178718563715693
3_2022_24,1.4898880958211311
8_2022_24,1.4244348433628158
9_2022_24,1.4087969533647617
2_2022_24,1.4358301343017308
6_2022_24,1.3993312238630993
1_2022_24,1.541424270908389
7_2022_24,1.5174626796080388
0_2022_24,1.4968895813192327
4_2022_25,1.4861297772010758
5_2022_25,1.4178718563715693
3_2022_25,1.4898880958211311
8_2022_25,1.4244348433628158
9_2022_25,1.4087969533647617
2_2022_25,1.4358301343017308
6_2022_25,1.3993312238630993
1_2022_25,1.541424270908389
7_2022_25,1.5174626796080388
0_2022_25,1.4968895813192327
4_2022_26,1.4861297772010758
5_2022_26,1.4178718563715693
3_2022_26,1.4898880958211311
8_2022_26,1.4244348433628158
9_2022_26,1.4087969533647617
2_2022_26,1.4358301343017308
6_2022_26,1.3993312238630993
1_2022_26,1.541424270908389
7_2022_26,1.5174626796080388
0_2022_26,1.4968895813192327
4_2022_27,1.4861297772010758
5_2022_27,1.4178718563715693
3_2022_27,1.4898880958211311
8_2022_27,1.4244348433628158
9_2022_27,1.4087969533647617
2_2022_27,1.4358301343017308
6_2022_27,1.3993312238630993
1_2022_27,1.541424270908389
7_2022_27,1.5174626796080388
0_2022_27,1.4968895813192327
4_2022_28,1.4861297772010758
5_2022_28,1.4178718563715693
3_2022_28,1.4898880958211311
8_2022_28,1.4244348433628158
9_2022_28,1.4087969533647617
2_2022_28,1.4358301343017308
6_2022_28,1.3993312238630993
1_2022_28,1.541424270908389
7_2022_28,1.5174626796080388
0_2022_28,1.4968895813192327
4_2022_29,1.4861297772010758
5_2022_29,1.4178718563715693
3_2022_29,1.4898880958211311
8_2022_29,1.4244348433628158
9_2022_29,1.4087969533647617
2_2022_29,1.4358301343017308
6_2022_29,1.3993312238630993
1_2022_29,1.541424270908389
7_2022_29,1.5174626796080388
0_2022_29,1.4968895813192327
4_2022_30,1.4861297772010758
5_2022_30,1.4178718563715693
3_2022_30,1.4898880958211311
8_2022_30,1.4244348433628158
9_2022_30,1.4087969533647617
2_2022_30,1.4358301343017308
6_2022_30,1.3993312238630993
1_2022_30,1.541424270908389
7_2022_30,1.5174626796080388
0_2022_30,1.4968895813192327
4_2022_31,1.4861297772010758
5_2022_31,1.4178718563715693
3_2022_31,1.4898880958211311
8_2022_31,1.4244348433628158
9_2022_31,1.4087969533647617
2_2022_31,1.4358301343017308
6_2022_31,1.3993312238630993
1_2022_31,1.541424270908389
7_2022_31,1.5174626796080388
0_2022_31,1.4968895813192327
4_2022_32,1.4861297772010758
5_2022_32,1.4178718563715693
3_2022_32,1.4898880958211311
8_2022_32,1.4244348433628158
9_2022_32,1.4087969533647617
2_2022_32,1.4358301343017308
6_2022_32,1.3993312238630993
1_2022_32,1.541424270908389
7_2022_32,1.5174626796080388
0_2022_32,1.4968895813192327
4_2022_33,1.4861297772010758
5_2022_33,1.4178718563715693
3_2022_33,1.4898880958211311
8_2022_33,1.4244348433628158
9_2022_33,1.4087969533647617
2_2022_33,1.4358301343017308
6_2022_33,1.3993312238630993
1_2022_33,1.541424270908389
7_2022_33,1.5174626796080388
0_2022_33,1.4968895813192327
4_2022_34,1.4861297772010758
5_2022_34,1.4178718563715693
3_2022_34,1.4898880958211311
8_2022_34,1.4244348433628158
9_2022_34,1.4087969533647617
2_2022_34,1.4358301343017308
6_2022_34,1.3993312238630993
1_2022_34,1.541424270908389
7_2022_34,1.5174626796080388
0_2022_34,1.4968895813192327
4_2022_35,1.4861297772010758
5_2022_35,1.4178718563715693
3_2022_35,1.4898880958211311
8_2022_35,1.4244348433628158
9_2022_35,1.4087969533647617
2_2022_35,1.4358301343017308
6_2022_35,1.3993312238630993
1_2022_35,1.541424270908389
7_2022_35,1.5174626796080388
0_2022_35,1.4968895813192327
4_2022_36,1.4861297772010758
5_2022_36,1.4178718563715693
3_2022_36,1.4898880958211311
8_2022_36,1.4244348433628158
9_2022_36,1.4087969533647617
2_2022_36,1.4358301343017308
6_2022_36,1.3993312238630993
1_2022_36,1.541424270908389
7_2022_36,1.5174626796080388
0_2022_36,1.4968895813192327
4_2022_37,1.4861297772010758
5_2022_37,1.4178718563715693
3_2022_37,1.4898880958211311
8_2022_37,1.4244348433628158
9_2022_37,1.4087969533647617
2_2022_37,1.4358301343017308
6_2022_37,1.3993312238630993
1_2022_37,1.541424270908389
7_2022_37,1.5174626796080388
0_2022_37,1.4968895813192327
4_2022_38,1.4861297772010758
5_2022_38,1.4178718563715693
3_2022_38,1.4898880958211311
8_2022_38,1.4244348433628158
9_2022_38,1.4087969533647617
2_2022_38,1.4358301343017308
6_2022_38,1.3993312238630993
1_2022_38,1.541424270908389
7_2022_38,1.5174626796080388
0_2022_38,1.4968895813192327
4_2022_39,1.4861297772010758
5_2022_39,1.4178718563715693
3_2022_39,1.4898880958211311
8_2022_39,1.4244348433628158
9_2022_39,1.4087969533647617
2_2022_39,1.4358301343017308
6_2022_39,1.3993312238630993
1_2022_39,1.541424270908389
7_2022_39,1.5174626796080388
0_2022_39,1.4968895813192327
4_2022_40,1.4861297772010758
5_2022_40,1.4178718563715693
3_2022_40,1.4898880958211311
8_2022_40,1.4244348433628158
9_2022_40,1.4087969533647617
2_2022_40,1.4358301343017308
6_2022_40,1.3993312238630993
1_2022_40,1.541424270908389
7_2022_40,1.5174626796080388
0_2022_40,1.4968895813192327
4_2022_41,1.4861297772010758
5_2022_41,1.4178718563715693
3_2022_41,1.4898880958211311
8_2022_41,1.4244348433628158
9_2022_41,1.4087969533647617
2_2022_41,1.4358301343017308
6_2022_41,1.3993312238630993
1_2022_41,1.541424270908389
7_2022_41,1.5174626796080388
0_2022_41,1.4968895813192327
4_2022_42,1.4861297772010758
5_2022_42,1.4178718563715693
3_2022_42,1.4898880958211311
8_2022_42,1.4244348433628158
9_2022_42,1.4087969533647617
2_2022_42,1.4358301343017308
6_2022_42,1.3993312238630993
1_2022_42,1.541424270908389
7_2022_42,1.5174626796080388
0_2022_42,1.4968895813192327
4_2022_43,1.4861297772010758
5_2022_43,1.4178718563715693
3_2022_43,1.4898880958211311
8_2022_43,1.4244348433628158
9_2022_43,1.4087969533647617
2_2022_43,1.4358301343017308
6_2022_43,1.3993312238630993
1_2022_43,1.541424270908389
7_2022_43,1.5174626796080388
0_2022_43,1.4968895813192327
4_2022_44,1.4861297772010758
5_2022_44,1.4178718563715693
3_2022_44,1.4898880958211311
8_2022_44,1.4244348433628158
9_2022_44,1.4087969533647617
2_2022_44,1.4358301343017308
6_2022_44,1.3993312238630993
1_2022_44,1.541424270908389
7_2022_44,1.5174626796080388
0_2022_44,1.4968895813192327
4_2022_45,1.4861297772010758
5_2022_45,1.4178718563715693
3_2022_45,1.4898880958211311
8_2022_45,1.4244348433628158
9_2022_45,1.4087969533647617
2_2022_45,1.4358301343017308
6_2022_45,1.3993312238630993
1_2022_45,1.541424270908389
7_2022_45,1.5174626796080388
0_2022_45,1.4968895813192327
4_2022_46,1.4861297772010758
5_2022_46,1.4178718563715693
3_2022_46,1.4898880958211311
8_2022_46,1.4244348433628158
9_2022_46,1.4087969533647617
2_2022_46,1.4358301343017308
6_2022_46,1.3993312238630993
1_2022_46,1.541424270908389
7_2022_46,1.5174626796080388
0_2022_46,1.4968895813192327
4_2022_47,1.4861297772010758
5_2022_47,1.4178718563715693
3_2022_47,1.4898880958211311
8_2022_47,1.4244348433628158
9_2022_47,1.4087969533647617
2_2022_47,1.4358301343017308
6_2022_47,1.3993312238630993
1_2022_47,1.541424270908389
7_2022_47,1.5174626796080388
0_2022_47,1.4968895813192327
4_2022_48,1.4861297772010758
5_2022_48,1.4178718563715693
3_2022_48,1.4898880958211311
8_2022_48,1.4244348433628158
9_2022_48,1.4087969533647617
2_2022_48,1.4358301343017308
6_2022_48,1.3993312238630993
1_2022_48,1.541424270908389
7_2022_48,1.5174626796080388
0_2022_48,1.4968895813192327
4_2022_49,1.4861297772010758
5_2022_49,1.4178718563715693
3_2022_49,1.4898880958211311
8_2022_49,1.4244348433628158
9_2022_49,1.4087969533647617
2_2022_49,1.4358301343017308
6_2022_49,1.3993312238630993
1_2022_49,1.541424270908389
7_2022_49,1.5174626796080388
0_2022_49,1.4968895813192327
4_2022_50,1.4861297772010758
5_2022_50,1.4178718563715693
3_2022_50,1.4898880958211311
8_2022_50,1.4244348433628158
9_2022_50,1.4087969533647617
2_2022_50,1.4358301343017308
6_2022_50,1.3993312238630993
1_2022_50,1.541424270908389
7_2022_50,1.5174626796080388
0_2022_50,1.4968895813192327
4_2022_51,1.4861297772010758
5_2022_51,1.4178718563715693
3_2022_51,1.4898880958211311
8_2022_51,1.4244348433628158
9_2022_51,1.4087969533647617
2_2022_51,1.4358301343017308
6_2022_51,1.3993312238630993
1_2022_51,1.541424270908389
7_2022_51,1.5174626796080388
0_2022_51,1.4968895813192327
4_2022_52,1.4861297772010758
5_2022_52,1.4178718563715693
3_2022_52,1.4898880958211311
8_2022_52,1.4244348433628158
9_2022_52,1.4087969533647617
2_2022_52,1.4358301343017308
6_2022_52,1.3993312238630993
1_2022_52,1.541424270908389
7_2022_52,1.5174626796080388
0_2022_52,1.4968895813192327
